"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4995","Open Docs page from Homepage","webkit","Tue Dec 23 15:13:12 UTC 2025","passed","Tue Dec 23 15:13:17 UTC 2025","Playwright Homepage","homepage.spec.ts","",""
"","1544","Open Docs page from Homepage","firefox","Tue Dec 23 15:13:08 UTC 2025","passed","Tue Dec 23 15:13:09 UTC 2025","Playwright Homepage","homepage.spec.ts","",""
"","493","Open Docs page from Homepage","chromium","Tue Dec 23 15:13:05 UTC 2025","passed","Tue Dec 23 15:13:05 UTC 2025","Playwright Homepage","homepage.spec.ts","",""
"","1596","Open Playwright for .NET Homepage","webkit","Tue Dec 23 15:13:18 UTC 2025","passed","Tue Dec 23 15:13:19 UTC 2025","Playwright Homepage","homepage.spec.ts","",""
"","1130","Open Playwright for .NET Homepage","firefox","Tue Dec 23 15:13:10 UTC 2025","passed","Tue Dec 23 15:13:11 UTC 2025","Playwright Homepage","homepage.spec.ts","",""
"","643","Open Playwright for .NET Homepage","chromium","Tue Dec 23 15:13:06 UTC 2025","passed","Tue Dec 23 15:13:07 UTC 2025","Playwright Homepage","homepage.spec.ts","",""
